n,linear.ticks
10000000,10000000
10010000,10010000
10020000,10020000
10030000,10030000
10040000,10040000
10050000,10050000
10060000,10060000
10070000,10070000
10080000,10080000
10090000,10090000
10100000,10100000
10110000,10110000
10120000,10120000
10130000,10130000
10140000,10140000
10150000,10150000
10160000,10160000
10170000,10170000
10180000,10180000
10190000,10190000
10200000,10200000
10210000,10210000
10220000,10220000
10230000,10230000
10240000,10240000
10250000,10250000
10260000,10260000
10270000,10270000
10280000,10280000
10290000,10290000
10300000,10300000
10310000,10310000
10320000,10320000
10330000,10330000
10340000,10340000
10350000,10350000
10360000,10360000
10370000,10370000
10380000,10380000
10390000,10390000
10400000,10400000
10410000,10410000
10420000,10420000
