n,quadratic.ticks
10000,100000000
20000,400000000
30000,900000000
40000,1600000000
50000,2500000000
60000,3600000000
70000,4900000000
80000,6400000000
90000,8100000000
100000,10000000000
110000,12100000000
120000,14400000000
130000,16900000000
140000,19600000000
150000,22500000000
160000,25600000000
170000,28900000000
180000,32400000000
190000,36100000000
200000,40000000000
210000,44100000000
220000,48400000000
230000,52900000000
240000,57600000000
250000,62500000000
260000,67600000000
270000,72900000000
280000,78400000000
290000,84100000000
300000,90000000000
310000,96100000000
320000,102400000000
330000,108900000000
340000,115600000000
350000,122500000000
360000,129600000000
370000,136900000000
380000,144400000000
390000,152100000000
400000,160000000000
410000,168100000000
420000,176400000000
430000,184900000000
