n,quadratic.time
10000,14
20000,22
30000,45
40000,139
50000,214
60000,317
70000,415
80000,548
90000,697
100000,890
110000,1089
120000,1268
130000,1531
140000,1797
150000,2348
160000,2563
170000,2979
180000,3209
190000,3512
200000,3871
210000,4268
220000,5436
230000,7823
240000,6671
250000,6576
260000,6770
270000,7465
280000,8224
290000,8184
300000,8855
310000,10720
320000,10292
330000,11901
340000,12842
350000,13503
360000,14117
370000,14813
380000,15663
390000,14035
400000,14501
410000,15282
420000,16083
430000,16898
